num_nodes,reward
35,"(tensor(-5543.4375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-5453.4375, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
36,"(tensor(-6731.2500, device='cuda:0', grad_fn=<AddBackward0>), tensor(-6641.2500, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
37,"(tensor(-1684.6875, device='cuda:0', grad_fn=<AddBackward0>), tensor(-1594.6875, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
38,"(tensor(-1625.6250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-1535.6250, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
39,"(tensor(-2813.4375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-2723.4375, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
40,"(tensor(-4001.2500, device='cuda:0', grad_fn=<AddBackward0>), tensor(-3911.2500, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
41,"(tensor(-5189.0625, device='cuda:0', grad_fn=<AddBackward0>), tensor(-5099.0625, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
42,"(tensor(-6376.8750, device='cuda:0', grad_fn=<AddBackward0>), tensor(-6286.8750, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
43,"(tensor(-7564.6875, device='cuda:0', grad_fn=<AddBackward0>), tensor(-7474.6875, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
44,"(tensor(-8752.5000, device='cuda:0', grad_fn=<AddBackward0>), tensor(-8662.5000, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
45,"(tensor(-9940.3125, device='cuda:0', grad_fn=<AddBackward0>), tensor(-9850.3125, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
46,"(tensor(-11128.1250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-11038.1250, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
47,"(tensor(-12315.9375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-12225.9375, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
48,"(tensor(-945., device='cuda:0', grad_fn=<AddBackward0>), tensor(-945., device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
49,"(tensor(-2132.8125, device='cuda:0', grad_fn=<AddBackward0>), tensor(-2132.8125, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
50,"(tensor(-3320.6250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-3320.6250, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
51,"(tensor(-4508.4375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-4508.4375, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
52,"(tensor(-5696.2500, device='cuda:0', grad_fn=<AddBackward0>), tensor(-5696.2500, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
53,"(tensor(-6884.0625, device='cuda:0', grad_fn=<AddBackward0>), tensor(-6884.0625, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
54,"(tensor(-8071.8750, device='cuda:0', grad_fn=<AddBackward0>), tensor(-8071.8750, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
55,"(tensor(-9259.6875, device='cuda:0', grad_fn=<AddBackward0>), tensor(-9259.6875, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
56,"(tensor(-10447.5000, device='cuda:0', grad_fn=<AddBackward0>), tensor(-10447.5000, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
57,"(tensor(-11635.3125, device='cuda:0', grad_fn=<AddBackward0>), tensor(-11635.3125, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
58,"(tensor(-12823.1250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-12823.1250, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
59,"(tensor(-14010.9375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-14010.9375, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
60,"(tensor(-15198.7500, device='cuda:0', grad_fn=<AddBackward0>), tensor(-15198.7500, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
61,"(tensor(-16386.5625, device='cuda:0', grad_fn=<AddBackward0>), tensor(-16386.5625, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
62,"(tensor(-17574.3750, device='cuda:0', grad_fn=<AddBackward0>), tensor(-17574.3750, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
63,"(tensor(-18762.1875, device='cuda:0', grad_fn=<AddBackward0>), tensor(-18762.1875, device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
64,"(tensor(-19950., device='cuda:0', grad_fn=<AddBackward0>), tensor(-19950., device='cuda:0', requires_grad=True), tensor(-0., device='cuda:0', requires_grad=True))"
