num_nodes,reward
0,"tensor(-3870., device='cuda:0', grad_fn=<AddBackward0>)"
1,"tensor(-3810.9375, device='cuda:0', grad_fn=<AddBackward0>)"
2,"tensor(-3751.8750, device='cuda:0', grad_fn=<AddBackward0>)"
3,"tensor(-4939.6875, device='cuda:0', grad_fn=<AddBackward0>)"
4,"tensor(-6127.5000, device='cuda:0', grad_fn=<AddBackward0>)"
5,"tensor(-7315.3125, device='cuda:0', grad_fn=<AddBackward0>)"
6,"tensor(-8503.1250, device='cuda:0', grad_fn=<AddBackward0>)"
7,"tensor(-9690.9375, device='cuda:0', grad_fn=<AddBackward0>)"
8,"tensor(-10878.7500, device='cuda:0', grad_fn=<AddBackward0>)"
9,"tensor(-12066.5625, device='cuda:0', grad_fn=<AddBackward0>)"
10,"tensor(-3279.3750, device='cuda:0', grad_fn=<AddBackward0>)"
11,"tensor(-3220.3125, device='cuda:0', grad_fn=<AddBackward0>)"
12,"tensor(-4408.1250, device='cuda:0', grad_fn=<AddBackward0>)"
13,"tensor(-5595.9375, device='cuda:0', grad_fn=<AddBackward0>)"
14,"tensor(-6783.7500, device='cuda:0', grad_fn=<AddBackward0>)"
15,"tensor(-7971.5625, device='cuda:0', grad_fn=<AddBackward0>)"
16,"tensor(-9159.3750, device='cuda:0', grad_fn=<AddBackward0>)"
17,"tensor(-10347.1875, device='cuda:0', grad_fn=<AddBackward0>)"
18,"tensor(-11535., device='cuda:0', grad_fn=<AddBackward0>)"
19,"tensor(-12722.8125, device='cuda:0', grad_fn=<AddBackward0>)"
20,"tensor(-13910.6250, device='cuda:0', grad_fn=<AddBackward0>)"
21,"tensor(-2629.6875, device='cuda:0', grad_fn=<AddBackward0>)"
22,"tensor(-2570.6250, device='cuda:0', grad_fn=<AddBackward0>)"
23,"tensor(-3758.4375, device='cuda:0', grad_fn=<AddBackward0>)"
24,"tensor(-4946.2500, device='cuda:0', grad_fn=<AddBackward0>)"
25,"tensor(-6134.0625, device='cuda:0', grad_fn=<AddBackward0>)"
26,"tensor(-7321.8750, device='cuda:0', grad_fn=<AddBackward0>)"
27,"tensor(-8509.6875, device='cuda:0', grad_fn=<AddBackward0>)"
28,"tensor(-9697.5000, device='cuda:0', grad_fn=<AddBackward0>)"
29,"tensor(-10885.3125, device='cuda:0', grad_fn=<AddBackward0>)"
30,"tensor(-12073.1250, device='cuda:0', grad_fn=<AddBackward0>)"
31,"tensor(-13260.9375, device='cuda:0', grad_fn=<AddBackward0>)"
32,"tensor(-1980., device='cuda:0', grad_fn=<AddBackward0>)"
33,"tensor(-3167.8125, device='cuda:0', grad_fn=<AddBackward0>)"
34,"tensor(-4355.6250, device='cuda:0', grad_fn=<AddBackward0>)"
35,"tensor(-5543.4375, device='cuda:0', grad_fn=<AddBackward0>)"
36,"tensor(-6731.2500, device='cuda:0', grad_fn=<AddBackward0>)"
37,"tensor(-1684.6875, device='cuda:0', grad_fn=<AddBackward0>)"
38,"tensor(-1625.6250, device='cuda:0', grad_fn=<AddBackward0>)"
39,"tensor(-2813.4375, device='cuda:0', grad_fn=<AddBackward0>)"
40,"tensor(-4001.2500, device='cuda:0', grad_fn=<AddBackward0>)"
41,"tensor(-5189.0625, device='cuda:0', grad_fn=<AddBackward0>)"
42,"tensor(-6376.8750, device='cuda:0', grad_fn=<AddBackward0>)"
43,"tensor(-7564.6875, device='cuda:0', grad_fn=<AddBackward0>)"
44,"tensor(-8752.5000, device='cuda:0', grad_fn=<AddBackward0>)"
45,"tensor(-9940.3125, device='cuda:0', grad_fn=<AddBackward0>)"
46,"tensor(-11128.1250, device='cuda:0', grad_fn=<AddBackward0>)"
47,"tensor(-12315.9375, device='cuda:0', grad_fn=<AddBackward0>)"
48,"tensor(-945., device='cuda:0', grad_fn=<AddBackward0>)"
49,"tensor(-2132.8125, device='cuda:0', grad_fn=<AddBackward0>)"
50,"tensor(-3320.6250, device='cuda:0', grad_fn=<AddBackward0>)"
51,"tensor(-4508.4375, device='cuda:0', grad_fn=<AddBackward0>)"
52,"tensor(-5696.2500, device='cuda:0', grad_fn=<AddBackward0>)"
53,"tensor(-6884.0625, device='cuda:0', grad_fn=<AddBackward0>)"
54,"tensor(-8071.8750, device='cuda:0', grad_fn=<AddBackward0>)"
55,"tensor(-9259.6875, device='cuda:0', grad_fn=<AddBackward0>)"
56,"tensor(-10447.5000, device='cuda:0', grad_fn=<AddBackward0>)"
57,"tensor(-11635.3125, device='cuda:0', grad_fn=<AddBackward0>)"
58,"tensor(-12823.1250, device='cuda:0', grad_fn=<AddBackward0>)"
59,"tensor(-14010.9375, device='cuda:0', grad_fn=<AddBackward0>)"
60,"tensor(-15198.7500, device='cuda:0', grad_fn=<AddBackward0>)"
61,"tensor(-16386.5625, device='cuda:0', grad_fn=<AddBackward0>)"
62,"tensor(-17574.3750, device='cuda:0', grad_fn=<AddBackward0>)"
63,"tensor(-18762.1875, device='cuda:0', grad_fn=<AddBackward0>)"
64,"tensor(-19950., device='cuda:0', grad_fn=<AddBackward0>)"
