num_nodes,reward
0,"(tensor(-348., device='cuda:0', grad_fn=<SubBackward0>), tensor(2700., device='cuda:0', requires_grad=True), tensor(300., device='cuda:0', requires_grad=True))"
1,"(tensor(-298.1562, device='cuda:0', grad_fn=<SubBackward0>), tensor(2657.8125, device='cuda:0', requires_grad=True), tensor(250., device='cuda:0', requires_grad=True))"
2,"(tensor(-248.3125, device='cuda:0', grad_fn=<SubBackward0>), tensor(2615.6250, device='cuda:0', requires_grad=True), tensor(200., device='cuda:0', requires_grad=True))"
3,"(tensor(-265.2812, device='cuda:0', grad_fn=<SubBackward0>), tensor(3464.0625, device='cuda:0', requires_grad=True), tensor(200., device='cuda:0', requires_grad=True))"
4,"(tensor(-282.2500, device='cuda:0', grad_fn=<SubBackward0>), tensor(4312.5000, device='cuda:0', requires_grad=True), tensor(200., device='cuda:0', requires_grad=True))"
5,"(tensor(-299.2188, device='cuda:0', grad_fn=<SubBackward0>), tensor(5160.9375, device='cuda:0', requires_grad=True), tensor(200., device='cuda:0', requires_grad=True))"
6,"(tensor(-316.1875, device='cuda:0', grad_fn=<SubBackward0>), tensor(6009.3750, device='cuda:0', requires_grad=True), tensor(200., device='cuda:0', requires_grad=True))"
7,"(tensor(-333.1562, device='cuda:0', grad_fn=<SubBackward0>), tensor(6857.8125, device='cuda:0', requires_grad=True), tensor(200., device='cuda:0', requires_grad=True))"
8,"(tensor(-350.1250, device='cuda:0', grad_fn=<SubBackward0>), tensor(7706.2500, device='cuda:0', requires_grad=True), tensor(200., device='cuda:0', requires_grad=True))"
9,"(tensor(-367.0938, device='cuda:0', grad_fn=<SubBackward0>), tensor(8554.6875, device='cuda:0', requires_grad=True), tensor(200., device='cuda:0', requires_grad=True))"
10,"(tensor(-241.5625, device='cuda:0', grad_fn=<SubBackward0>), tensor(2278.1250, device='cuda:0', requires_grad=True), tensor(200., device='cuda:0', requires_grad=True))"
11,"(tensor(-191.7188, device='cuda:0', grad_fn=<SubBackward0>), tensor(2235.9375, device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
12,"(tensor(-208.6875, device='cuda:0', grad_fn=<SubBackward0>), tensor(3084.3750, device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
13,"(tensor(-225.6562, device='cuda:0', grad_fn=<SubBackward0>), tensor(3932.8125, device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
14,"(tensor(-242.6250, device='cuda:0', grad_fn=<SubBackward0>), tensor(4781.2500, device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
15,"(tensor(-259.5938, device='cuda:0', grad_fn=<SubBackward0>), tensor(5629.6875, device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
16,"(tensor(-276.5625, device='cuda:0', grad_fn=<SubBackward0>), tensor(6478.1250, device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
17,"(tensor(-293.5312, device='cuda:0', grad_fn=<SubBackward0>), tensor(7326.5625, device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
18,"(tensor(-310.5000, device='cuda:0', grad_fn=<SubBackward0>), tensor(8175., device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
19,"(tensor(-327.4688, device='cuda:0', grad_fn=<SubBackward0>), tensor(9023.4375, device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
20,"(tensor(-344.4375, device='cuda:0', grad_fn=<SubBackward0>), tensor(9871.8750, device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
21,"(tensor(-183.2812, device='cuda:0', grad_fn=<SubBackward0>), tensor(1814.0625, device='cuda:0', requires_grad=True), tensor(150., device='cuda:0', requires_grad=True))"
22,"(tensor(-133.4375, device='cuda:0', grad_fn=<SubBackward0>), tensor(1771.8750, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
23,"(tensor(-150.4062, device='cuda:0', grad_fn=<SubBackward0>), tensor(2620.3125, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
24,"(tensor(-167.3750, device='cuda:0', grad_fn=<SubBackward0>), tensor(3468.7500, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
25,"(tensor(-184.3438, device='cuda:0', grad_fn=<SubBackward0>), tensor(4317.1875, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
26,"(tensor(-201.3125, device='cuda:0', grad_fn=<SubBackward0>), tensor(5165.6250, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
27,"(tensor(-218.2812, device='cuda:0', grad_fn=<SubBackward0>), tensor(6014.0625, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
28,"(tensor(-235.2500, device='cuda:0', grad_fn=<SubBackward0>), tensor(6862.5000, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
29,"(tensor(-252.2188, device='cuda:0', grad_fn=<SubBackward0>), tensor(7710.9375, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
30,"(tensor(-269.1875, device='cuda:0', grad_fn=<SubBackward0>), tensor(8559.3750, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
31,"(tensor(-286.1562, device='cuda:0', grad_fn=<SubBackward0>), tensor(9407.8125, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
32,"(tensor(-76., device='cuda:0', grad_fn=<SubBackward0>), tensor(1350., device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
33,"(tensor(-92.9688, device='cuda:0', grad_fn=<SubBackward0>), tensor(2198.4375, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
34,"(tensor(-109.9375, device='cuda:0', grad_fn=<SubBackward0>), tensor(3046.8750, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
